Unnamed: 0,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Reason
7532,7533,P07533,L,303.4848543,295.0713437,2396,33.20783928,8,normal
1585,1586,P01586,M,281.902235,289.2718434,751,75.50180196,372,HDF
7604,7605,P07605,L,293.8701355,303.498519,2342,26.30506111,22,normal
3287,3288,P03288,M,283.6696593,284.1497665,1047,46.17473636,212,PWF
1962,1963,P01963,M,278.9404602,288.5797794,1120,72.14230631,303,HDF
5215,5216,P05216,H,289.0052449,292.1096305,1269,25.88494018,246,OSF
2844,2845,P02845,M,289.3462721,293.7507257,1520,75.14475144,362,PWF
5418,5419,P05419,M,274.5210968,274.6347171,952,66.91531408,446,RNF
6019,6020,P06020,H,268.6350089,279.9325059,1288,73.42334625,326,RNF
5930,5931,P05931,H,277.2442954,284.7153669,661,76.31911124,340,RNF
7483,7484,P07484,L,296.4343238,295.5124077,2619,37.2384414,31,normal
3305,3306,P03306,H,275.3243106,291.475479,820,72.14405917,337,PWF
7167,7168,P07168,L,292.8781439,304.0926885,2353,32.32286298,7,normal
6981,6982,P06982,M,305.8296967,310.7660339,2070,37.22182874,40,normal
2056,2057,P02057,L,271.5596529,282.067868,911,72.82694661,209,HDF
2890,2891,P02891,H,282.756354,280.0808526,1027,57.59023562,198,PWF
1012,1013,P01013,H,280.1093171,292.1682701,1094,59.3871306,186,TWF
1566,1567,P01567,M,281.8701281,280.4884159,1170,69.3333877,315,HDF
182,183,P00183,M,288.3179301,294.7991505,1418,60.88767215,348,TWF
6927,6928,P06928,L,290.1630488,299.7192526,2953,14.06012303,47,normal
751,752,P00752,L,284.2918805,289.2957741,1248,75.61636491,213,TWF
3663,3664,P03664,L,288.200861,289.1753961,1128,84.53132621,316,PWF
3031,3032,P03032,H,276.037845,286.8947842,1318,72.52881503,191,PWF
4621,4622,P04622,L,296.6018748,299.9092099,1428,69.74075794,165,OSF
6825,6826,P06826,H,291.0506486,307.4019073,2273,14.52823476,29,normal
4268,4269,P04269,H,298.2494187,298.618885,1653,54.40517145,199,OSF
159,160,P00160,M,283.3777581,287.825129,1022,91.91828575,336,TWF
2533,2534,P02534,L,272.609571,282.4070529,721,77.74270252,204,HDF
2999,3000,P03000,H,285.7953279,292.2935887,1117,36.26339637,330,PWF
4026,4027,P04027,M,288.9190197,302.7283809,2147,28.35103877,203,OSF
3779,3780,P03780,H,279.8323376,287.5379544,1177,84.45981281,191,PWF
1392,1393,P01393,L,273.6554101,283.050107,957,88.57727575,311,HDF
6308,6309,P06309,M,272.0626274,275.3696092,923,74.95290082,416,RNF
5482,5483,P05483,L,270.3032475,277.7409864,715,89.80320468,407,RNF
2707,2708,P02708,H,278.5865205,286.2586627,924,57.31883728,196,PWF
2344,2345,P02345,H,279.5149266,279.9581957,1336,53.16083557,259,HDF
5408,5409,P05409,M,278.2878461,277.7242944,814,66.69549774,323,RNF
1327,1328,P01328,M,284.104437,293.5840516,863,56.32504078,256,TWF
4805,4806,P04806,M,293.202863,290.5668006,2480,57.88225824,259,OSF
6284,6285,P06285,H,267.0643128,283.4959936,1194,106.5572012,277,RNF
6283,6284,P06284,M,270.3373017,279.8358974,944,87.8424479,377,RNF
6884,6885,P06885,H,298.8648807,312.0438722,2221,34.95873028,26,normal
941,942,P00942,L,281.3617951,292.5112609,943,94.20271789,163,TWF
5190,5191,P05191,M,295.9125936,290.6657231,1879,55.94251468,248,OSF
7684,7685,P07685,M,304.184173,314.2908615,2290,26.38879885,21,normal
6056,6057,P06057,M,277.0701841,270.3080955,1186,106.4502986,399,RNF
2570,2571,P02571,M,274.0769,284.9524444,1243,82.97946749,299,HDF
859,860,P00860,H,293.8854469,288.9231005,1019,86.29501303,160,TWF
2225,2226,P02226,L,280.7759201,281.2801252,1157,66.8105105,371,HDF
509,510,P00510,H,292.7430048,293.2351817,1161,66.24636737,335,TWF
3906,3907,P03907,M,280.881711,291.433385,1475,74.61305996,294,PWF
2723,2724,P02724,H,288.6316926,284.6771674,1590,79.20671933,252,PWF
616,617,P00617,H,290.0333919,287.4161171,1288,57.8283184,279,TWF
6305,6306,P06306,H,265.7095751,283.218856,1231,65.67327408,311,RNF
3406,3407,P03407,L,282.6155853,290.9325413,816,71.26966357,335,PWF
5455,5456,P05456,M,276.077778,281.4610978,887,88.68779761,408,RNF
5239,5240,P05240,L,297.2267699,294.0814788,2019,27.0042562,258,OSF
1596,1597,P01597,L,274.4326357,287.9495654,1387,46.51459359,237,HDF
4701,4702,P04702,H,290.557638,301.0309384,2065,59.21391994,221,OSF
2357,2358,P02358,H,282.2897308,278.3060643,1312,71.48269823,344,HDF
848,849,P00849,M,283.3663036,299.8942749,1342,81.37404393,329,TWF
639,640,P00640,H,287.7772041,296.5094924,987,99.08472753,219,TWF
7970,7971,P07971,M,308.9803687,295.139645,2627,37.06085749,48,normal
6285,6286,P06286,L,277.0846492,272.0650452,593,101.8852695,421,RNF
3913,3914,P03914,M,287.8323437,290.3894082,741,61.88014086,292,PWF
4387,4388,P04388,L,293.6884843,299.1692018,1491,51.65366955,237,OSF
5100,5101,P05101,L,291.911721,292.2227577,1821,33.03510621,134,OSF
2586,2587,P02587,M,279.2373776,275.1246724,1015,45.4825681,260,HDF
2669,2670,P02670,H,281.1535526,286.5864679,749,64.12335929,341,PWF
4099,4100,P04100,L,287.7093091,300.2692096,1828,58.19010982,165,OSF
3867,3868,P03868,M,280.2297072,287.9138562,1245,49.52602379,188,PWF
7642,7643,P07643,L,294.8666409,303.3662592,2190,43.38378015,43,normal
6035,6036,P06036,M,278.8278255,271.9447659,713,77.6042555,338,RNF
87,88,P00088,H,292.188072,298.2091201,943,70.58860259,308,TWF
5050,5051,P05051,L,296.5853539,301.7786948,2250,27.25615811,103,OSF
7540,7541,P07541,L,296.0764236,314.4242276,2730,37.63875418,45,normal
2706,2707,P02707,M,281.4149602,291.9416839,1533,70.19551938,204,PWF
7070,7071,P07071,H,298.1489806,308.0379783,2679,35.09118753,2,normal
5150,5151,P05151,H,292.0857458,292.1620403,2148,38.99338134,272,OSF
623,624,P00624,L,294.1212477,299.4965579,1403,86.77652764,267,TWF
2313,2314,P02314,M,272.2122355,276.3022421,628,73.73671876,246,HDF
3785,3786,P03786,M,280.9853269,289.4530654,1121,73.02902174,249,PWF
4255,4256,P04256,M,289.2788141,303.9875421,1554,44.33703284,203,OSF
1053,1054,P01054,M,293.1616012,290.1501569,997,87.98586607,176,TWF
432,433,P00433,L,284.9006409,292.6107941,1150,93.14345876,312,TWF
4114,4115,P04115,H,297.2120969,294.0073272,2473,56.05663492,168,OSF
6321,6322,P06322,H,270.9077455,273.6273536,671,79.35840929,340,RNF
442,443,P00443,M,286.0788388,295.0741092,1219,63.35947452,336,TWF
7370,7371,P07371,L,309.1278747,306.9135901,2645,15.18932948,39,normal
4676,4677,P04677,M,287.0013256,291.4177513,2416,64.28651086,145,OSF
773,774,P00774,L,290.7899003,290.1166581,1236,67.21495675,261,TWF
487,488,P00488,H,280.2723248,289.9325457,1073,87.55860973,189,TWF
1506,1507,P01507,H,279.3300086,279.9511395,1116,54.28088249,326,HDF
1019,1020,P01020,M,281.9632901,293.7468459,1291,64.86500132,264,TWF
4263,4264,P04264,L,291.222484,300.5590673,1305,36.18412491,196,OSF
5922,5923,P05923,L,268.6241724,281.7161899,684,95.98350179,402,RNF
1641,1642,P01642,H,273.1386277,287.228053,727,79.73024531,259,HDF
6240,6241,P06241,H,276.4352323,276.3890304,1012,93.67080116,364,RNF
7625,7626,P07626,H,309.2828442,305.8980838,2778,36.35662192,36,normal
1997,1998,P01998,M,274.1287495,284.5871808,688,45.67810699,201,HDF
1388,1389,P01389,M,278.6245587,286.5465145,726,53.76834016,295,HDF
5901,5902,P05902,H,276.4248062,277.1042427,1000,66.64167948,400,RNF
5899,5900,P05900,L,269.1839911,278.3587162,718,71.74849869,287,RNF
926,927,P00927,H,282.3343758,292.4129623,1114,84.53259857,176,TWF
2353,2354,P02354,M,280.2539834,282.2626559,812,50.17478749,303,HDF
3814,3815,P03815,H,288.269664,283.84221,1543,81.13030063,231,PWF
5204,5205,P05205,M,291.3789696,302.7834917,2237,35.22528676,115,OSF
3434,3435,P03435,H,288.665519,291.3324755,1067,81.37385979,353,PWF
167,168,P00168,M,291.764635,288.0547675,1400,93.34497568,158,TWF
3144,3145,P03145,L,285.5983393,289.4862964,1059,48.9170575,211,PWF
7640,7641,P07641,M,293.5226301,312.5114008,2591,16.00630105,12,normal
7316,7317,P07317,M,303.285942,305.7316779,2874,29.89339135,37,normal
3668,3669,P03669,L,279.9583204,282.0813423,1597,84.87816164,287,PWF
7650,7651,P07651,L,300.8549746,307.0281745,2358,19.04997568,35,normal
5924,5925,P05925,M,270.7896442,275.8029321,940,65.22922426,332,RNF
4294,4295,P04295,M,298.1579343,302.4104514,1235,56.75565104,119,OSF
5253,5254,P05254,L,298.9621663,292.2659945,2374,38.29516105,204,OSF
2422,2423,P02423,H,280.4753869,280.8776078,1034,71.844401,224,HDF
373,374,P00374,M,287.0596174,290.5990376,1390,74.46188095,165,TWF
5496,5497,P05497,M,266.1139288,275.7851381,685,97.65710907,381,RNF
1880,1881,P01881,M,272.405108,285.7396862,921,57.96151448,348,HDF
7438,7439,P07439,L,307.3015126,296.7036143,2789,15.11371939,5,normal
6026,6027,P06027,H,268.1066489,273.8878948,616,106.833703,311,RNF
4883,4884,P04884,L,290.7750327,298.6793372,1623,62.98830924,178,OSF
3408,3409,P03409,M,285.0519159,294.5896196,1431,39.13604533,302,PWF
7617,7618,P07618,M,296.3429424,304.0263825,2360,39.61778409,29,normal
2513,2514,P02514,M,284.3265236,279.5234002,1170,84.8492947,283,HDF
35,36,P00036,L,282.9041827,287.1212127,1359,63.07887046,288,TWF
2614,2615,P02615,M,273.6593198,277.1986889,625,53.42875681,347,HDF
7445,7446,P07446,H,296.6705133,314.498082,2621,49.7734569,3,normal
5347,5348,P05348,M,267.0772968,280.1139211,875,100.9728421,304,RNF
6120,6121,P06121,M,265.1529661,270.9331025,734,95.28713941,337,RNF
4236,4237,P04237,M,286.2355375,295.1480267,2203,51.86330727,160,OSF
4953,4954,P04954,L,292.1554777,296.9250295,1757,26.80217912,124,OSF
2138,2139,P02139,H,278.0783228,275.0541192,1254,45.81828185,218,HDF
4336,4337,P04337,M,289.3576156,292.9093975,1297,26.413276,128,OSF
2799,2800,P02800,M,282.5029943,290.8873603,1445,79.43054703,344,PWF
5754,5755,P05755,L,272.257755,278.706848,638,95.16420881,408,RNF
7228,7229,P07229,H,298.9470129,303.6592702,2971,29.53490723,1,normal
2248,2249,P02249,H,274.4808649,284.9296967,1031,82.60643056,273,HDF
3621,3622,P03622,L,276.0058455,291.316912,1036,60.24384223,342,PWF
837,838,P00838,H,282.7218983,295.7651201,1243,71.14798373,301,TWF
600,601,P00601,L,289.4686863,298.5791212,1463,65.76346949,338,TWF
4423,4424,P04424,L,292.4385375,294.9924745,1767,68.99313993,205,OSF
1551,1552,P01552,L,275.7468124,281.7294927,749,75.97835439,257,HDF
4699,4700,P04700,M,296.857019,304.6838409,1939,44.81932436,170,OSF
4887,4888,P04888,M,286.1607817,304.4721232,1668,33.98533803,133,OSF
3889,3890,P03890,H,288.2931404,290.4035388,1391,71.00903535,241,PWF
351,352,P00352,L,287.8106968,294.0255061,1424,70.77930976,162,TWF
3443,3444,P03444,L,289.8439756,285.3133771,925,78.54425134,340,PWF
7908,7909,P07909,M,295.1221217,310.2664675,2339,38.69651742,0,normal
886,887,P00887,L,283.8500764,289.1581043,961,81.77913174,167,TWF
4262,4263,P04263,L,288.8449995,297.713853,1556,69.46853393,270,OSF
632,633,P00633,H,293.5377763,285.8831009,1368,63.41254595,286,TWF
3944,3945,P03945,L,280.1705091,292.5334837,1174,55.30518998,253,PWF
4736,4737,P04737,H,291.7106369,297.4511453,2328,54.03757933,151,OSF
2240,2241,P02241,L,273.772672,288.3408864,907,74.55588871,342,HDF
2124,2125,P02125,L,272.1214202,286.6680876,795,51.25841933,396,HDF
5397,5398,P05398,L,269.0894859,284.2324574,982,84.45549133,299,RNF
3499,3500,P03500,H,286.9409823,293.2614376,1440,47.00807117,216,PWF
5484,5485,P05485,L,274.560503,284.8206875,1051,95.6853148,357,RNF
7636,7637,P07637,L,292.984798,299.7825599,2350,23.4948554,17,normal
5947,5948,P05948,L,269.5682295,270.1223304,688,86.58457568,391,RNF
7456,7457,P07457,L,291.31697,300.0162826,2587,23.77676834,26,normal
7260,7261,P07261,M,293.4723518,296.3298485,2342,40.80904425,31,normal
2587,2588,P02588,H,277.2265135,279.031353,623,66.00599358,374,HDF
4394,4395,P04395,M,293.3047902,297.4494915,1989,30.1333132,111,OSF
3180,3181,P03181,L,276.3229624,292.4699276,1513,44.69723143,281,PWF
3497,3498,P03498,L,288.3457902,286.4410575,1023,68.44668182,300,PWF
4211,4212,P04212,L,288.5620244,294.8969941,2185,68.51252863,200,OSF
4197,4198,P04198,M,289.9001965,303.3856462,1237,59.73183944,223,OSF
5620,5621,P05621,H,270.3678864,277.9949275,1221,99.28969452,386,RNF
6190,6191,P06191,L,275.7711674,283.7235178,791,98.212349,251,RNF
4541,4542,P04542,M,294.3676901,304.6635766,1548,41.07512284,251,OSF
3391,3392,P03392,L,289.158997,285.5677431,1205,59.90661277,369,PWF
3048,3049,P03049,H,278.9054989,281.3296963,1378,60.96836011,290,PWF
3321,3322,P03322,M,276.938841,284.1648167,1593,55.99257221,219,PWF
3276,3277,P03277,L,283.5283956,280.7795343,1204,84.49477155,292,PWF
360,361,P00361,M,283.4254737,289.5905643,830,99.46083533,338,TWF
2770,2771,P02771,H,285.745452,293.3785564,1150,76.90048819,328,PWF
3956,3957,P03957,H,282.0429114,281.4466363,952,84.76753997,359,PWF
7813,7814,P07814,M,292.9297488,306.4524531,2751,21.78414789,3,normal
3863,3864,P03864,M,283.7684735,291.3430006,1319,79.07703046,298,PWF
720,721,P00721,M,294.8401669,299.3974801,1029,76.77614131,320,TWF
3376,3377,P03377,M,276.7883828,289.1753321,1079,79.59873687,196,PWF
5547,5548,P05548,L,271.0583065,282.938821,663,93.74240236,265,RNF
5727,5728,P05728,H,269.7605263,278.1684577,647,105.0036495,418,RNF
650,651,P00651,H,284.9072643,297.3477487,1355,66.9522479,346,TWF
346,347,P00347,M,292.9622974,285.413092,1062,94.96245527,205,TWF
566,567,P00567,H,288.381037,298.4649305,1414,90.01949352,192,TWF
6191,6192,P06192,L,266.4551737,274.0867745,676,85.66125363,390,RNF
2186,2187,P02187,M,272.9788897,282.9102807,801,73.21970639,384,HDF
4775,4776,P04776,H,297.0147453,291.6480561,2081,48.08870612,168,OSF
2216,2217,P02217,H,271.4511152,278.2510783,773,60.22990164,396,HDF
5035,5036,P05036,H,287.1484411,302.8420351,1332,51.88938538,268,OSF
415,416,P00416,H,283.4398169,288.8531529,864,61.38823679,208,TWF
927,928,P00928,H,284.8849382,292.7851949,1178,91.90549266,326,TWF
749,750,P00750,H,287.1801264,285.5678791,1257,92.65544005,249,TWF
4744,4745,P04745,L,297.7811426,303.9224478,2204,66.98176272,110,OSF
3332,3333,P03333,H,284.6606098,281.3145626,1336,73.50754957,227,PWF
2442,2443,P02443,H,278.0765508,283.2592706,1367,56.54172974,254,HDF
2079,2080,P02080,H,284.925922,284.5492699,1368,51.32429304,365,HDF
7107,7108,P07108,H,290.7869285,299.6130764,2983,42.85222785,37,normal
760,761,P00761,M,287.2626634,289.448988,864,71.19667768,222,TWF
2452,2453,P02453,L,279.7466317,275.4448813,1118,51.93784015,291,HDF
476,477,P00477,L,291.9169767,288.4077121,1064,72.59929818,304,TWF
605,606,P00606,L,281.3619811,296.8392148,1318,68.71260147,166,TWF
5328,5329,P05329,L,293.1464383,294.7955754,1319,68.10796457,238,OSF
4409,4410,P04410,H,294.4229184,299.543083,1358,32.18647552,103,OSF
3714,3715,P03715,H,283.2252161,289.2137287,826,57.61766925,253,PWF
2378,2379,P02379,H,278.567439,285.1387834,776,79.81367709,278,HDF
7106,7107,P07107,H,293.441213,301.0952196,2491,11.22303678,1,normal
1725,1726,P01726,M,277.97768,276.8419315,790,55.64164238,239,HDF
59,60,P00060,M,287.316499,294.0376256,1161,73.8175427,170,TWF
506,507,P00507,M,291.5146568,298.7982798,1393,78.17033749,222,TWF
3619,3620,P03620,L,279.3339017,292.4636526,946,66.7293084,287,PWF
7556,7557,P07557,H,302.1062292,314.4373674,2858,13.30494715,44,normal
6639,6640,P06640,L,269.6234656,271.654629,650,95.85176511,449,RNF
1023,1024,P01024,H,285.5933935,289.8554903,1197,93.66964095,174,TWF
4396,4397,P04397,L,288.0612966,291.7963719,1936,48.875061,123,OSF
2261,2262,P02262,M,271.2625858,276.1787669,673,77.22501252,202,HDF
5437,5438,P05438,H,279.5774439,271.7687483,567,75.00499538,293,RNF
4525,4526,P04526,H,286.740658,299.2560575,2023,51.36329919,133,OSF
6235,6236,P06236,M,269.857827,283.7983813,1065,104.4075641,418,RNF
1107,1108,P01108,M,292.4040974,291.2040676,879,93.37062288,299,TWF
5217,5218,P05218,H,296.5181973,290.7040222,2027,62.97326807,173,OSF
2747,2748,P02748,H,275.5963007,282.9708013,967,45.14588106,211,PWF
4020,4021,P04021,M,293.4384239,301.8548204,1304,58.53114928,245,OSF
6861,6862,P06862,H,300.4309551,302.4955017,2750,12.89402189,20,normal
3480,3481,P03481,L,281.236862,292.969942,1561,50.77834453,251,PWF
5982,5983,P05983,H,276.4934865,279.8866367,610,100.2219954,275,RNF
734,735,P00735,L,284.315515,288.5209942,1132,77.99853392,256,TWF
5188,5189,P05189,L,286.2497027,304.3291177,1642,50.49405305,208,OSF
1828,1829,P01829,M,280.7859761,285.3305024,1232,65.87162014,206,HDF
2756,2757,P02757,M,281.085269,285.1444014,1170,53.46717337,318,PWF
3983,3984,P03984,M,276.2031863,281.6739657,1129,50.98073554,344,PWF
4111,4112,P04112,L,293.0202341,302.7295471,1807,64.3805989,228,OSF
3049,3050,P03050,M,280.1283016,294.0043635,1099,55.51628127,272,PWF
7495,7496,P07496,M,296.8244831,312.5853436,2321,48.70824212,35,normal
6760,6761,P06761,L,295.7263515,314.3434612,2142,43.12369233,18,normal
6899,6900,P06900,H,296.9750165,305.2228678,2145,34.85805799,13,normal
331,332,P00332,M,281.0194709,299.5991544,981,79.83869397,311,TWF
7683,7684,P07684,M,303.5356829,307.9416505,2432,21.50828669,14,normal
971,972,P00972,M,287.1977708,294.7229795,951,71.83133849,269,TWF
7429,7430,P07430,M,297.6743326,298.324863,2263,15.47594444,17,normal
2935,2936,P02936,H,277.4751579,283.9432564,1105,65.11206377,357,PWF
4261,4262,P04262,M,294.1137528,296.5898344,2019,56.73139648,272,OSF
6144,6145,P06145,H,271.2459686,280.5282342,543,80.74793631,391,RNF
1931,1932,P01932,M,270.4658141,283.3649032,859,84.52845437,356,HDF
811,812,P00812,L,280.5358675,291.2489197,1408,74.47606665,302,TWF
6814,6815,P06815,H,290.9281998,296.0041313,2916,18.3498428,21,normal
163,164,P00164,M,293.3274783,295.3295925,1255,75.62215661,164,TWF
942,943,P00943,L,291.7966718,294.7178808,1465,99.2248103,158,TWF
1577,1578,P01578,H,276.367045,279.4407022,1004,45.93203467,212,HDF
129,130,P00130,L,284.1064285,293.9862202,951,66.37942731,259,TWF
1281,1282,P01282,M,287.9588284,294.2182706,965,85.9491955,232,TWF
4682,4683,P04683,M,297.949433,294.6295196,1702,63.94651849,257,OSF
2333,2334,P02334,H,272.8781605,278.1741092,1248,86.57945821,306,HDF
767,768,P00768,M,285.3311178,299.1404228,1184,68.47019239,348,TWF
976,977,P00977,L,280.4950766,286.4439861,1116,77.61134154,305,TWF
6217,6218,P06218,L,272.0868227,275.2725133,785,66.75440385,374,RNF
569,570,P00570,H,288.8087577,288.1598418,1118,55.22032533,253,TWF
368,369,P00369,M,290.5501643,294.3051421,1302,70.10557865,315,TWF
1155,1156,P01156,L,288.4476573,296.6538897,943,61.00751508,206,TWF
5511,5512,P05512,M,279.7410809,273.2954745,660,91.30207629,400,RNF
6125,6126,P06126,H,269.4648485,270.116381,597,94.86171014,370,RNF
3026,3027,P03027,H,280.0208751,287.9270766,1210,72.60090727,359,PWF
1883,1884,P01884,H,284.2377137,288.3276713,899,62.23203735,283,HDF
2947,2948,P02948,L,279.943189,286.5185461,1033,42.14772194,312,PWF
2367,2368,P02368,H,279.464696,286.4473411,1181,74.54079886,370,HDF
1978,1979,P01979,H,272.4009503,278.4342999,915,63.89795614,265,HDF
7953,7954,P07954,L,298.5155156,310.6704322,2523,11.64847145,45,normal
2246,2247,P02247,M,281.2011377,285.821736,666,67.93612828,293,HDF
7591,7592,P07592,L,300.7812859,295.9379433,2875,35.91498572,28,normal
4830,4831,P04831,H,296.1549813,291.172074,2328,68.1362774,250,OSF
5441,5442,P05442,M,270.2251688,284.4920938,1158,99.80778365,377,RNF
359,360,P00360,M,286.027963,296.7312453,1269,91.55747738,247,TWF
6952,6953,P06953,H,290.9851595,296.2123476,2016,28.79003211,41,normal
1489,1490,P01490,L,281.4955088,286.4625354,719,77.47905905,348,HDF
6767,6768,P06768,L,291.080703,314.3384729,2188,11.80647734,34,normal
4091,4092,P04092,H,295.6120028,295.0502285,1528,38.86290347,228,OSF
3454,3455,P03455,L,281.1961535,290.0057227,1087,35.59651651,221,PWF
5687,5688,P05688,H,274.1726818,284.6482698,739,67.77732948,257,RNF
4029,4030,P04030,M,285.243122,301.1655958,1815,34.69456729,274,OSF
3788,3789,P03789,M,278.61127,286.8862605,1283,50.00622337,347,PWF
6519,6520,P06520,H,278.8097514,284.8006187,740,109.8674376,437,RNF
2424,2425,P02425,M,284.0739616,282.5798087,738,75.24737589,288,HDF
6696,6697,P06697,H,292.2737444,307.794063,2808,46.73496164,10,normal
2341,2342,P02342,L,276.6898997,281.3008887,656,67.93315234,229,HDF
5980,5981,P05981,L,265.6505994,272.4092587,806,67.198975,292,RNF
2790,2791,P02791,M,279.6369746,288.8009225,1326,43.33189702,260,PWF
248,249,P00249,L,289.0676091,285.8601147,1054,57.90802519,164,TWF
2537,2538,P02538,L,274.4875206,276.2405026,629,66.68493664,313,HDF
6135,6136,P06136,M,276.4745663,282.1080318,669,93.70661648,390,RNF
5890,5891,P05891,L,268.0503352,277.0775967,683,88.98509335,395,RNF
2609,2610,P02610,M,273.9236199,278.0463829,1387,59.05408053,208,HDF
7394,7395,P07395,M,294.3841733,306.7013974,2045,28.84028395,30,normal
679,680,P00680,H,285.1864134,294.2342064,1239,95.94576224,268,TWF
6831,6832,P06832,L,291.789564,310.6197322,2615,35.96362625,12,normal
172,173,P00173,L,288.7150568,296.904089,947,80.84922676,332,TWF
7003,7004,P07004,L,299.7377387,297.8895597,2603,10.65245541,45,normal
4155,4156,P04156,M,291.9671297,290.1621252,1819,53.17661343,203,OSF
3071,3072,P03072,L,276.7280656,291.3510279,858,48.06168883,224,PWF
6844,6845,P06845,L,303.2382215,296.9496902,2296,25.07886259,34,normal
7249,7250,P07250,L,291.9529625,298.2933923,2565,12.1095865,20,normal
4339,4340,P04340,H,288.143625,290.8882513,1874,47.59728714,277,OSF
955,956,P00956,L,284.7540886,291.7526794,1353,84.51204169,301,TWF
4184,4185,P04185,L,289.7663665,292.9416881,2213,38.0163204,266,OSF
3030,3031,P03031,H,281.9273358,293.4381123,986,51.55008494,203,PWF
6155,6156,P06156,L,274.0679479,280.7463705,1247,106.5260174,260,RNF
4079,4080,P04080,M,289.6370268,295.2913147,1625,32.42252379,259,OSF
2065,2066,P02066,L,276.6764895,279.3984388,1327,57.45324303,315,HDF
725,726,P00726,M,290.3576452,285.1410174,1346,95.88959324,172,TWF
1846,1847,P01847,H,278.3545992,285.1745284,848,80.37197166,370,HDF
1110,1111,P01111,M,286.2241141,298.1321948,908,71.6750319,160,TWF
